"age","work.class","final.weight","education","years.school","marital.status","occupation","relationship","race","sex","hours.per.week","native.country","income","income.g50"
29," Private",177651," Some-college",10," Never-married"," Exec-managerial"," Not-in-family"," White"," Male",45," United-States"," <=50K",0
35," Private",332588," HS-grad",9," Divorced"," Other-service"," Unmarried"," White"," Female",30," United-States"," <=50K",0
31," Private",110643," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",55," United-States"," >50K",1
21," Private",241367," Some-college",10," Never-married"," Adm-clerical"," Own-child"," White"," Male",10," United-States"," <=50K",0
29," ?",339100," 11th",7," Divorced"," ?"," Not-in-family"," White"," Female",48," United-States"," <=50K",0
53," Private",153052," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," United-States"," >50K",1
40," Private",204046," 10th",6," Divorced"," Transport-moving"," Own-child"," White"," Male",40," United-States"," <=50K",0
32," Private",106541," 5th-6th",3," Married-civ-spouse"," Other-service"," Other-relative"," White"," Male",40," United-States"," <=50K",0
59," Private",31137," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," United-States"," >50K",1
27," Private",155057," Some-college",10," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",50," United-States"," >50K",1
57," Self-emp-inc",172654," Prof-school",15," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",50," United-States"," >50K",1
46," Private",263568," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",40," United-States"," <=50K",0
21," Private",329530," 11th",7," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," Mexico"," <=50K",0
35," Private",48123," 12th",8," Married-civ-spouse"," Craft-repair"," Wife"," White"," Female",50," United-States"," <=50K",0
20," Private",34310," Some-college",10," Never-married"," Sales"," Own-child"," White"," Male",20," United-States"," <=50K",0
49," Local-gov",177114," Masters",14," Divorced"," Prof-specialty"," Not-in-family"," White"," Female",60," United-States"," <=50K",0
27," Private",330132," Bachelors",13," Married-civ-spouse"," Tech-support"," Wife"," White"," Female",40," United-States"," >50K",1
41," Private",152958," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," United-States"," >50K",1
43," Self-emp-inc",62026," Prof-school",15," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",40," United-States"," >50K",1
58," Private",371064," HS-grad",9," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",20," United-States"," <=50K",0
51," Private",230858," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",60," United-States"," >50K",1
35," Federal-gov",287031," Masters",14," Never-married"," Exec-managerial"," Not-in-family"," White"," Male",40," United-States"," >50K",1
37," Private",200153," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," United-States"," <=50K",0
35," Private",282979," HS-grad",9," Married-civ-spouse"," Sales"," Husband"," White"," Male",50," United-States"," >50K",1
47," Self-emp-inc",96798," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",80," United-States"," >50K",1
44," Private",82601," Bachelors",13," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",40," United-States"," <=50K",0
36," Private",104772," HS-grad",9," Divorced"," Craft-repair"," Unmarried"," White"," Male",48," United-States"," <=50K",0
42," Private",42703," HS-grad",9," Divorced"," Adm-clerical"," Unmarried"," White"," Female",40," United-States"," <=50K",0
30," Private",327202," 12th",8," Never-married"," Craft-repair"," Not-in-family"," Black"," Male",40," United-States"," <=50K",0
44," Private",210013," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",40," United-States"," >50K",1
18," Private",703067," 11th",7," Never-married"," Sales"," Own-child"," White"," Male",20," United-States"," <=50K",0
53," Private",226135," 9th",5," Never-married"," Craft-repair"," Not-in-family"," Black"," Male",40," Jamaica"," <=50K",0
31," Private",189759," Assoc-acdm",12," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",40," Italy"," <=50K",0
34," Private",128063," HS-grad",9," Divorced"," Other-service"," Unmarried"," White"," Female",36," United-States"," <=50K",0
55," Private",163083," Bachelors",13," Separated"," Exec-managerial"," Not-in-family"," White"," Male",45," United-States"," >50K",1
29," Private",109814," Bachelors",13," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",40," United-States"," <=50K",0
41," Private",177905," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",45," United-States"," >50K",1
63," Self-emp-not-inc",52144," Some-college",10," Widowed"," Exec-managerial"," Not-in-family"," White"," Male",35," United-States"," <=50K",0
49," Private",62793," HS-grad",9," Divorced"," Sales"," Own-child"," White"," Female",40," United-States"," <=50K",0
66," Self-emp-not-inc",174995," Assoc-acdm",12," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",30," Hungary"," <=50K",0
28," State-gov",78356," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," Black"," Male",40," Jamaica"," <=50K",0
90," Private",313986," 11th",7," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," United-States"," <=50K",0
24," Private",417668," Bachelors",13," Never-married"," Prof-specialty"," Own-child"," White"," Male",30," United-States"," <=50K",0
73," Local-gov",181902," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",10," Poland"," >50K",1
63," ?",68954," HS-grad",9," Widowed"," ?"," Not-in-family"," Black"," Female",11," United-States"," <=50K",0
31," Private",123397," HS-grad",9," Married-civ-spouse"," Transport-moving"," Wife"," White"," Female",35," United-States"," >50K",1
19," ?",225775," Some-college",10," Never-married"," ?"," Own-child"," White"," Male",40," United-States"," <=50K",0
27," Private",255582," HS-grad",9," Never-married"," Machine-op-inspct"," Not-in-family"," White"," Female",40," United-States"," <=50K",0
33," Self-emp-not-inc",137674," HS-grad",9," Married-civ-spouse"," Other-service"," Husband"," Black"," Male",40," United-States"," <=50K",0
29," Private",57889," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",45," United-States"," >50K",1
32," Private",73498," 7th-8th",4," Divorced"," Other-service"," Unmarried"," White"," Female",40," United-States"," <=50K",0
31," State-gov",157673," HS-grad",9," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",40," United-States"," <=50K",0
28," Private",137898," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Wife"," White"," Female",40," United-States"," <=50K",0
55," Self-emp-inc",222615," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",60," United-States"," <=50K",0
59," Private",122283," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Husband"," Asian-Pac-Islander"," Male",40," India"," >50K",1
46," Private",121124," Assoc-acdm",12," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",50," United-States"," >50K",1
59," Self-emp-not-inc",119344," 10th",6," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Female",36," United-States"," <=50K",0
90," Private",137018," HS-grad",9," Never-married"," Other-service"," Not-in-family"," White"," Female",40," United-States"," <=50K",0
39," Private",80680," Some-college",10," Divorced"," Machine-op-inspct"," Own-child"," White"," Female",40," United-States"," <=50K",0
69," Private",209236," HS-grad",9," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",36," United-States"," <=50K",0
43," Private",151089," Some-college",10," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",50," United-States"," <=50K",0
27," ?",251854," Bachelors",13," Married-civ-spouse"," ?"," Wife"," Black"," Female",35," ?"," >50K",1
32," Private",294121," Assoc-acdm",12," Divorced"," Machine-op-inspct"," Not-in-family"," White"," Female",50," United-States"," <=50K",0
25," State-gov",104097," Masters",14," Never-married"," Exec-managerial"," Not-in-family"," White"," Male",40," United-States"," <=50K",0
57," Private",334224," Some-college",10," Married-civ-spouse"," Craft-repair"," Wife"," White"," Female",40," United-States"," >50K",1
34," Private",176711," HS-grad",9," Divorced"," Other-service"," Own-child"," White"," Male",40," United-States"," <=50K",0
57," Self-emp-inc",159028," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",60," United-States"," >50K",1
30," Local-gov",118500," Bachelors",13," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",40," United-States"," <=50K",0
32," Private",182975," Some-college",10," Never-married"," Tech-support"," Not-in-family"," White"," Female",20," United-States"," <=50K",0
25," Self-emp-inc",90752," Bachelors",13," Never-married"," Sales"," Not-in-family"," White"," Female",50," United-States"," <=50K",0
21," Private",225823," Some-college",10," Never-married"," Adm-clerical"," Not-in-family"," White"," Female",40," United-States"," <=50K",0
38," Private",210610," Assoc-acdm",12," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",40," United-States"," >50K",1
41," Self-emp-inc",151089," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",50," United-States"," <=50K",0
47," Federal-gov",197332," Bachelors",13," Divorced"," Prof-specialty"," Not-in-family"," White"," Male",40," United-States"," <=50K",0
30," Private",212237," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",45," United-States"," <=50K",0
20," Private",316702," Some-college",10," Never-married"," Prof-specialty"," Own-child"," White"," Male",20," United-States"," <=50K",0
46," Private",403911," Assoc-voc",11," Married-civ-spouse"," Craft-repair"," Husband"," Black"," Male",40," United-States"," >50K",1
24," Private",199555," Assoc-voc",11," Never-married"," Sales"," Unmarried"," White"," Male",5," United-States"," <=50K",0
21," Private",140764," HS-grad",9," Never-married"," Adm-clerical"," Other-relative"," White"," Female",45," United-States"," <=50K",0
58," Private",115605," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",50," United-States"," >50K",1
24," Private",266926," Some-college",10," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",40," United-States"," <=50K",0
26," Private",150361," Bachelors",13," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",40," United-States"," <=50K",0
28," Private",191027," Assoc-acdm",12," Separated"," Other-service"," Not-in-family"," White"," Male",40," United-States"," <=50K",0
22," Private",214399," Some-college",10," Never-married"," Sales"," Own-child"," White"," Female",15," United-States"," <=50K",0
26," Federal-gov",276075," Some-college",10," Married-civ-spouse"," Adm-clerical"," Husband"," Black"," Male",40," United-States"," <=50K",0
40," Private",51290," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",50," United-States"," >50K",1
66," ?",170617," Masters",14," Widowed"," ?"," Not-in-family"," White"," Male",6," United-States"," <=50K",0
18," Private",256005," HS-grad",9," Never-married"," Other-service"," Own-child"," White"," Male",40," United-States"," <=50K",0
24," Private",165474," HS-grad",9," Married-civ-spouse"," Other-service"," Husband"," White"," Male",39," United-States"," <=50K",0
41," Local-gov",134524," Assoc-voc",11," Divorced"," Craft-repair"," Unmarried"," White"," Female",45," United-States"," <=50K",0
22," ?",211013," Some-college",10," Never-married"," ?"," Own-child"," White"," Female",40," Mexico"," <=50K",0
42," Self-emp-inc",119281," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",60," United-States"," >50K",1
82," Self-emp-inc",120408," Some-college",10," Widowed"," Sales"," Not-in-family"," White"," Male",20," United-States"," <=50K",0
52," Private",366232," 9th",5," Divorced"," Craft-repair"," Unmarried"," White"," Female",40," Cuba"," <=50K",0
18," Private",43272," Some-college",10," Never-married"," Other-service"," Own-child"," White"," Male",20," United-States"," <=50K",0
42," Private",192712," HS-grad",9," Separated"," Other-service"," Unmarried"," White"," Female",25," United-States"," <=50K",0
45," Local-gov",132563," Prof-school",15," Divorced"," Prof-specialty"," Unmarried"," Black"," Female",40," United-States"," <=50K",0
42," Private",341204," HS-grad",9," Divorced"," Craft-repair"," Other-relative"," White"," Female",40," United-States"," <=50K",0
53," State-gov",197184," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",70," United-States"," >50K",1
43," Private",167265," Bachelors",13," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",84," United-States"," >50K",1
55," Private",143372," HS-grad",9," Divorced"," Sales"," Unmarried"," Black"," Female",40," United-States"," <=50K",0
48," Private",102112," Assoc-acdm",12," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",50," United-States"," >50K",1
42," Private",34037," Doctorate",16," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",50," United-States"," <=50K",0
25," Private",182866," HS-grad",9," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",40," United-States"," <=50K",0
46," Private",328216," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",40," United-States"," >50K",1
51," Private",128143," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," United-States"," >50K",1
32," Private",86723," HS-grad",9," Never-married"," Other-service"," Not-in-family"," White"," Male",52," United-States"," <=50K",0
44," Private",167005," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",55," United-States"," <=50K",0
45," Private",127738," Some-college",10," Married-civ-spouse"," Other-service"," Husband"," White"," Male",40," United-States"," <=50K",0
31," Private",137444," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",40," United-States"," >50K",1
49," Private",211005," Some-college",10," Married-civ-spouse"," Machine-op-inspct"," Husband"," Black"," Male",60," United-States"," <=50K",0
38," Private",215646," HS-grad",9," Divorced"," Handlers-cleaners"," Not-in-family"," White"," Male",40," United-States"," <=50K",0
61," Private",101265," Some-college",10," Divorced"," Adm-clerical"," Unmarried"," White"," Female",43," United-States"," <=50K",0
36," Private",373952," 10th",6," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",40," United-States"," <=50K",0
64," State-gov",211222," Bachelors",13," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",40," United-States"," <=50K",0
50," Local-gov",30682," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",50," United-States"," <=50K",0
23," Private",167868," Assoc-voc",11," Never-married"," Adm-clerical"," Not-in-family"," White"," Female",40," United-States"," <=50K",0
55," Private",60193," HS-grad",9," Divorced"," Adm-clerical"," Not-in-family"," White"," Female",40," United-States"," <=50K",0
28," Private",271572," 9th",5," Never-married"," Other-service"," Other-relative"," White"," Male",52," United-States"," <=50K",0
42," Private",259643," Masters",14," Divorced"," Prof-specialty"," Not-in-family"," White"," Male",40," United-States"," <=50K",0
30," Private",231413," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," United-States"," >50K",1
37," Private",175759," Bachelors",13," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",40," United-States"," >50K",1
35," Private",198341," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," Asian-Pac-Islander"," Male",40," ?"," <=50K",0
23," ?",191910," Some-college",10," Never-married"," ?"," Other-relative"," White"," Male",40," United-States"," <=50K",0
31," Private",433788," Some-college",10," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",40," United-States"," >50K",1
49," Federal-gov",216453," Assoc-voc",11," Divorced"," Exec-managerial"," Unmarried"," Black"," Female",45," United-States"," <=50K",0
38," Private",203763," HS-grad",9," Divorced"," Adm-clerical"," Not-in-family"," White"," Female",40," United-States"," <=50K",0
33," Private",188467," HS-grad",9," Never-married"," Farming-fishing"," Not-in-family"," White"," Male",40," United-States"," <=50K",0
51," Private",165614," Masters",14," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",55," United-States"," >50K",1
20," State-gov",125165," Some-college",10," Never-married"," Adm-clerical"," Own-child"," White"," Female",25," United-States"," <=50K",0
35," Private",204590," Assoc-voc",11," Married-civ-spouse"," Other-service"," Wife"," Black"," Female",40," United-States"," >50K",1
17," Private",175024," 11th",7," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",18," United-States"," <=50K",0
39," Private",148903," HS-grad",9," Divorced"," Sales"," Not-in-family"," White"," Female",50," United-States"," >50K",1
42," Private",20809," HS-grad",9," Divorced"," Craft-repair"," Not-in-family"," White"," Male",75," United-States"," >50K",1
26," Private",210714," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",52," United-States"," >50K",1
36," State-gov",96468," Masters",14," Never-married"," Prof-specialty"," Own-child"," White"," Female",40," United-States"," <=50K",0
32," Private",362259," Bachelors",13," Never-married"," Exec-managerial"," Not-in-family"," White"," Female",40," United-States"," <=50K",0
54," Self-emp-not-inc",230951," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",40," United-States"," >50K",1
50," Self-emp-inc",174855," HS-grad",9," Divorced"," Exec-managerial"," Unmarried"," White"," Female",40," United-States"," <=50K",0
56," Private",265086," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",50," United-States"," >50K",1
29," Private",220692," Assoc-voc",11," Never-married"," Exec-managerial"," Not-in-family"," Black"," Female",40," United-States"," <=50K",0
42," Private",76280," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Female",40," United-States"," <=50K",0
52," Self-emp-not-inc",334273," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",60," United-States"," >50K",1
25," Private",352806," HS-grad",9," Divorced"," Other-service"," Not-in-family"," White"," Female",40," Mexico"," <=50K",0
30," State-gov",46144," HS-grad",9," Married-AF-spouse"," Adm-clerical"," Own-child"," White"," Female",38," United-States"," <=50K",0
48," Federal-gov",497486," HS-grad",9," Married-spouse-absent"," Adm-clerical"," Unmarried"," White"," Female",40," United-States"," <=50K",0
23," Private",200207," HS-grad",9," Divorced"," Handlers-cleaners"," Own-child"," White"," Male",44," United-States"," <=50K",0
55," Private",100054," 10th",6," Never-married"," Other-service"," Not-in-family"," White"," Male",40," United-States"," <=50K",0
45," Private",183168," Bachelors",13," Divorced"," Exec-managerial"," Unmarried"," White"," Female",40," United-States"," <=50K",0
34," Private",221396," Some-college",10," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",40," United-States"," <=50K",0
31," Self-emp-not-inc",209213," HS-grad",9," Never-married"," Sales"," Not-in-family"," Black"," Male",40," ?"," <=50K",0
32," Private",259719," Some-college",10," Divorced"," Handlers-cleaners"," Unmarried"," Black"," Male",40," Nicaragua"," <=50K",0
34," Private",125279," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",40," United-States"," <=50K",0
53," Private",81794," 12th",8," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",40," United-States"," <=50K",0
27," Private",168827," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",40," United-States"," <=50K",0
59," Self-emp-not-inc",188003," Bachelors",13," Widowed"," Prof-specialty"," Not-in-family"," White"," Female",50," United-States"," >50K",1
32," Private",116055," HS-grad",9," Never-married"," Adm-clerical"," Unmarried"," Black"," Female",35," United-States"," <=50K",0
21," Private",163595," Some-college",10," Never-married"," Other-service"," Own-child"," White"," Male",35," United-States"," <=50K",0
36," Private",240323," Some-college",10," Widowed"," Adm-clerical"," Unmarried"," Black"," Female",40," United-States"," <=50K",0
51," Self-emp-not-inc",388496," Some-college",10," Divorced"," Craft-repair"," Not-in-family"," White"," Male",8," Puerto-Rico"," >50K",1
29," Private",138190," HS-grad",9," Never-married"," Sales"," Unmarried"," Black"," Female",40," United-States"," <=50K",0
19," Private",28790," Some-college",10," Never-married"," Other-service"," Not-in-family"," White"," Female",40," United-States"," <=50K",0
19," State-gov",156294," Some-college",10," Never-married"," Prof-specialty"," Own-child"," White"," Male",25," United-States"," <=50K",0
26," Private",459548," HS-grad",9," Never-married"," Handlers-cleaners"," Not-in-family"," White"," Male",20," Mexico"," <=50K",0
46," Private",29696," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",40," United-States"," >50K",1
35," Private",261241," HS-grad",9," Divorced"," Transport-moving"," Not-in-family"," White"," Male",60," United-States"," <=50K",0
53," Private",151580," Some-college",10," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",40," United-States"," >50K",1
44," Federal-gov",38434," Bachelors",13," Widowed"," Exec-managerial"," Unmarried"," White"," Female",40," United-States"," >50K",1
39," Private",186191," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",50," United-States"," >50K",1
